app_id,tag
7000,Third Person
7000,Third-Person Shooter
7110,Action
7110,Action RPG
7110,Adventure
7110,Atmospheric
7110,Character Customization
7110,Choices Matter
7110,Classic
7110,CRPG
7110,Fantasy
7110,Female Protagonist
7110,Great Soundtrack
7110,Martial Arts
7110,Multiple Endings
7110,Mythology
7110,Party-Based RPG
7110,Romance
7110,RPG
7110,Singleplayer
7110,Story Rich
7110,Third Person
7200,Action
7200,Arcade
7200,Classic
7200,Competitive
7200,Controller
7200,Difficult
7200,Driving
7200,Level Editor
7200,Local Multiplayer
7200,Multiplayer
7200,Racing
7200,Simulation
7200,Singleplayer
7200,Sports
7200,Time Attack
7520,Action
7520,Action RPG
7520,Adventure
7520,Atmospheric
7520,Co-op
7520,Crafting
7520,Dark Fantasy
7520,Exploration
7520,Fantasy
7520,Hack and Slash
7520,Inventory Management
7520,Magic
7520,Medieval
7520,Multiplayer
7520,Open World
7520,RPG
7520,Sandbox
7520,Singleplayer
7520,Story Rich
7520,Third Person
7600,Building
7600,Casual
7600,Classic
7600,Economy
7600,Historical
7600,Management
7600,Multiplayer
7600,Real-Time with Pause
7600,Simulation
7600,Singleplayer
7600,Strategy
7600,Trains
7650,1990's
7650,Aliens
7650,Base Building
7650,Classic
7650,Difficult
7650,Horror
7650,Isometric
7650,Lovecraftian
7650,Management
7650,Old School
7650,Retro
7650,Sci-fi
7650,Singleplayer
7650,Strategy
7650,Tactical
7650,Turn-Based
7650,Turn-Based Strategy
7650,Turn-Based Tactics
7650,Underwater
7670,Action
7670,Adventure
7670,Alternate History
7670,Atmospheric
7670,Classic
7670,Dark
7670,Dystopian
7670,First-Person
7670,FPS
7670,Great Soundtrack
7670,Horror
7670,Immersive
7670,Political
7670,RPG
7670,Sci-fi
7670,Shooter
7670,Singleplayer
7670,Steampunk
7670,Story Rich
7670,Underwater
7940,Action
7940,Atmospheric
7940,Classic
7940,Co-op
7940,Competitive
7940,Controller
7940,First-Person
7940,FPS
7940,Great Soundtrack
7940,Linear
7940,Military
7940,Moddable
7940,Modern
7940,Multiplayer
7940,PvP
7940,Shooter
7940,Singleplayer
7940,Story Rich
7940,War
7940,Zombies
8000,3D Platformer
8000,3D Vision
8000,Action
8000,Action-Adventure
8000,Adventure
8000,Atmospheric
8000,Classic
8000,Dinosaurs
8000,Exploration
8000,Female Protagonist
8000,Multiplayer
8000,Parkour
8000,Platformer
8000,Puzzle
8000,Remake
8000,Shooter
8000,Singleplayer
8000,Story Rich
8000,Third Person
8000,Third-Person Shooter
8140,3D Platformer
8140,3D Vision
8140,Action
8140,Action-Adventure
8140,Adventure
8140,Atmospheric
8140,Classic
8140,Exploration
8140,Female Protagonist
8140,Multiplayer
8140,Open World
8140,Parkour
8140,Platformer
8140,Puzzle
8140,Shooter
8140,Singleplayer
8140,Story Rich
8140,Third Person
8140,Third-Person Shooter
8140,Underwater
8190,3D Vision
8190,Action
8190,Adventure
8190,Atmospheric
8190,Beautiful
8190,Co-op
8190,Comedy
8190,Destruction
8190,Exploration
8190,Funny
8190,Massively Multiplayer
8190,Moddable
8190,Multiplayer
8190,Open World
8190,Physics
8190,Sandbox
8190,Shooter
8190,Singleplayer
8190,Third Person
8190,Third-Person Shooter
8500,Action
8500,Character Customization
8500,Economy
8500,Exploration
8500,Free to Play
8500,Lore-Rich
8500,Massively Multiplayer
8500,MMORPG
8500,Multiplayer
8500,Open World
8500,Politics
8500,PvE
8500,PvP
8500,RPG
8500,Sandbox
8500,Sci-fi
8500,Space
8500,Spaceships
8500,Strategy
8500,War
8850,Action
8850,Action RPG
8850,Adventure
8850,Atmospheric
8850,Dark
8850,Dystopian
8850,First-Person
8850,FPS
8850,Great Soundtrack
8850,Horror
8850,Immersive
8850,Multiplayer
8850,Philosophical
8850,RPG
8850,Sci-fi
8850,Shooter
8850,Singleplayer
8850,Steampunk
8850,Story Rich
8850,Underwater
8870,Action
8870,Adventure
8870,Alternate History
8870,Atmospheric
8870,Beautiful
8870,Dystopian
8870,Fantasy
8870,First-Person
8870,FPS
8870,Gore
8870,Great Soundtrack
8870,Immersive
8870,Linear
8870,RPG
8870,Sci-fi
8870,Shooter
8870,Singleplayer
8870,Steampunk
8870,Story Rich
8870,Time Travel
8930,4X
8930,Addictive
8930,Classic
8930,Co-op
8930,Diplomacy
8930,Economy
8930,Grand Strategy
8930,Great Soundtrack
8930,Hex Grid
8930,Historical
8930,Moddable
8930,Multiplayer
8930,Replay Value
8930,Simulation
8930,Singleplayer
8930,Strategy
8930,Tactical
8930,Touch-Friendly
8930,Turn-Based
8930,Turn-Based Strategy
9010,Action
9010,Adventure
9010,Alternate History
9010,Atmospheric
9010,Classic
9010,First-Person
9010,FPS
9010,Gore
9010,Great Soundtrack
9010,Horror
9010,Multiplayer
9010,Old School
9010,Retro
9010,Sci-fi
9010,Shooter
9010,Singleplayer
9010,Stealth
9010,Supernatural
9010,World War II
9010,Zombies
9200,Action
9200,Adventure
9200,Atmospheric
9200,Co-op
9200,Crafting
9200,First-Person
9200,FPS
9200,Gore
9200,Horror
9200,Linear
9200,Multiplayer
9200,Online Co-Op
9200,Open World
9200,Post-apocalyptic
9200,Racing
9200,RPG
9200,Sci-fi
9200,Shooter
9200,Singleplayer
9200,Survival
9350,Action
